name,score,population,genre,country,date,name2,originality
囧的呼唤,9.5,997,脱口秀,原创,,,原创
最强大脑 第一季,7.9,3199,选秀,德国,2011,Superhirn,引进
最强大脑 第四季,7.4,1488,选秀,德国,2011,Superhirn,引进
最强大脑 第三季,7.9,3189,选秀,德国,2011,Superhirn,引进
最强大脑 第二季,8.2,2398,选秀,德国,2011,Superhirn,引进
最美和声 第一季,6.5,209,选秀,美国,2012,Duet,引进
最美和声 第三季,5.6,76,选秀,美国,2012,Duet,引进
最美和声 第二季,5.8,147,选秀,美国,2012,Duet,引进
第10放映室,9.5,2221,脱口秀,原创,,,原创
中国最强音,4.7,1553,选秀,英国,2004,X Factor,引进
中国成语大会 第二季,9.4,2741,选秀,原创,,,原创
中国星跳跃,4.4,191,真人秀,德国,2004,Celebrity Splash!,引进
一千零一夜 第二季,9.4,622,脱口秀,原创,,,原创
笑逐言开 笑逐言開,9.4,382,脱口秀,原创,,,原创
天下足球,9.4,550,脱口秀,原创,,,原创
局部,9.4,4330,脱口秀,原创,,,原创
一千零一夜,9.3,3202,脱口秀,原创,,,原创
Lying Man 第二季,9.3,832,真人秀,原创,,,原创
晓松奇谈,9.2,7003,脱口秀,原创,,,原创
朗读者,9.2,2543,脱口秀,原创,,,原创
PandaKill 第一季,9.2,1089,真人秀,原创,,,原创
中国正在说,9.2,49,脱口秀,原创,,,原创
中国成语大会 第一季,9.1,681,选秀,原创,,,原创
晓说 第一季,9.1,4916,脱口秀,原创,,,原创
中国梦之声 第一季,6.2,2076,选秀,美国,2002,American Idol,引进
中国梦之声 第二季,4.6,275,选秀,美国,2002,American Idol,引进
中国梦想秀 第一季,4.7,169,选秀,英国,2009,Tonight's The Night,引进
中国好声音 第一季,7.8,19709,选秀,荷兰,2010,The Voice of Holland,引进
中国好声音 第五季（中国新歌声）,5.1,3004,选秀,荷兰,2011,The Voice of Holland,引进
中国好声音 第四季,5.9,4672,选秀,荷兰,2012,The Voice of Holland,引进
中国好声音 第三季,5.7,4842,选秀,荷兰,2010,The Voice of Holland,引进
中国好声音 第二季,6.4,7218,选秀,荷兰,2010,The Voice of Holland,引进
晓说 第二季,9.1,4037,脱口秀,原创,,,原创
奇葩说 第一季,9.1,23185,脱口秀,原创,,,原创
爱笑会议室,9.1,553,脱口秀,原创,,,原创
非凡匠心,9,466,真人秀,原创,,,原创
暴走大事件 第二季,9,1999,脱口秀,原创,,,原创
PandaKill 第二季,9,412,真人秀,原创,,,原创
中国达人秀 第一季,6.3,303,选秀,英国,2006,Got Talent,引进
中国达人秀 第五季,6.1,386,选秀,英国,2009,Got Talent,引进
中国达人秀 第四季,5.3,99,选秀,英国,2010,Got Talent,引进
中国达人秀 第三季,5.4,126,选秀,英国,2007,Got Talent,引进
中国达人秀 第二季,5.8,155,选秀,英国,2008,Got Talent,引进
Lying Man 第三季,9,593,真人秀,原创,,,原创
中华好诗词 第一季,8.9,337,真人秀,原创,,,原创
世界上的另一个我·欧洲季,8.9,388,真人秀,原创,,,原创
