name,genre,country,chanel,start,end
Papi酱,脱口秀,原创,爱奇艺,2015,2017
TFBOYS偶像手记,真人秀,原创,爱奇艺,2014,2014
WOW新家,真人秀,原创,腾讯视频,2016,2017
爱in思谈,脱口秀,原创,爱奇艺,2017,2017
爱唱才会赢,选秀,原创,浙江卫视,2008,2010
爱奇艺早班机,脱口秀,原创,爱奇艺,2013,2017
爱情保卫战,脱口秀,原创,天津卫视,2010,2017
爱上超模 ,真人秀,美国,湖北卫视,2015,2016
爱笑会议室,脱口秀,原创,黑龙江卫视,2011,2017
爸爸回来了 ,真人秀,韩国,浙江卫视,2014,2015
爸爸去哪儿 ,真人秀,韩国,湖南卫视,2013,2016
百变大咖秀 ,真人秀,西班牙,湖南卫视,2012,2017
百家讲坛,脱口秀,原创,CCTV,2001,2017
百里挑一,真人秀,原创,东方卫视,2010,2015
百事群音,选秀,原创,浙江卫视,2009,2009
拜拜啦肉肉,真人秀,原创,优酷土豆,2016,2017
拜托了冰箱,真人秀,韩国,腾讯视频,2015,2017
拜托了衣橱,真人秀,原创,腾讯视频,2016,2017
报告！教练,真人秀,原创,东方卫视,2015,2015
奔跑吧兄弟,真人秀,韩国,浙江卫视,2014,2017
变形计 ,真人秀,原创,湖南卫视,2006,2015
彬彬有理,脱口秀,原创,爱奇艺,2014,2017
冰雪奇迹,真人秀,原创,天津卫视,2016,2017
冰雪星动力,真人秀,原创,黑龙江卫视,2016,2017
不吐不快,脱口秀,原创,优酷土豆,2013,2015
不朽之名曲,真人秀,韩国,东方卫视,2014,2017
猜的就是你,选秀,美国,广西卫视,2013,2017
财经郎眼,脱口秀,原创,广东卫视,2009,2017
茶道真兄弟,真人秀,原创,东南卫视,2015,2017
唱出爱火花,真人秀,原创,贵州卫视,2014,2014
唱游天下,真人秀,原创,江苏卫视,2015,2015
超级歌单,真人秀,原创,江西卫视,2015,2015
超级惊喜,真人秀,原创,山东卫视,2017,2017
超级女声,选秀,英国,湖南卫视,2004,2006
超级先生,脱口秀,原创,安徽卫视,2014,2014
超级演说家,选秀,原创,安徽卫视,2013,2015
超级战队,真人秀,原创,江苏卫视,2015,2015
超强音浪,真人秀,原创,山东卫视,2017,2017
冲关我最棒,选秀,原创,浙江卫视,2011,2011
冲上云霄,真人秀,原创,辽宁卫视,2015,2015
充电旅行,真人秀,原创,青海卫视,2015,2015
出彩中国人,选秀,原创,CCTV,2014,2015
出发吧爱情,真人秀,原创,浙江卫视,2015,2015
出发吧我们,真人秀,原创,云南卫视,2016,2017
厨房的秘密,脱口秀,原创,深圳卫视,2015,2015
厨王争霸,选秀,原创,CCTV,2012,2017
创智赢家,选秀,美国,东方卫视,2005,2007
春妮的周末时光,脱口秀,原创,北京卫视,2011,2017
大魔术师,真人秀,原创,CCTV,2013,2013
大牌对王牌,真人秀,原创,爱奇艺,2015,2017
大王小王,脱口秀,原创,湖北卫视,2012,2017
大学生来了,脱口秀,原创,爱奇艺,2016,2016
带你看星星,真人秀,原创,江苏卫视,2014,2014
带着爸妈去旅行,真人秀,原创,江西卫视,2014,2016
单身战争,真人秀,原创,乐视,2017,2017
第10放映室,脱口秀,原创,CCTV,2004,2017
第一超模,真人秀,美国,旅游卫视,2013,2014
电影新青年,真人秀,原创,CCTV,2015,2015
叮咯咙咚呛 第一季,选秀,原创,CCTV,2015,2016
顶级厨师,选秀,美国,东方卫视,2012,2013
对口型大作战,真人秀,美国,深圳卫视,2016,2016
恶毒梁欢秀,脱口秀,原创,搜狐,2016,2017
耳边疯,真人秀,原创,腾讯视频,2016,2017
耳畔中国,真人秀,原创,安徽卫视,2017,2017
二十四小时,真人秀,原创,浙江卫视,2016,2017
二胎时代,真人秀,原创,北京卫视,2016,2016
饭局的诱惑,脱口秀,原创,腾讯视频,2016,2016
放开我北鼻,真人秀,原创,腾讯视频,2016,2017
非常6+1,选秀,原创,CCTV,2003,2017
非常静距离,脱口秀,原创,安徽卫视,2009,2017
非常了得,真人秀,原创,江苏卫视,2011,2014
非常完美,选秀,原创,贵州卫视,2011,2017
非凡搭档,真人秀,原创,江苏卫视,2016,2016
非凡匠心,真人秀,原创,优酷土豆,2017,2017
非你莫属,选秀,原创,天津卫视,2010,2017
非正式会谈,脱口秀,韩国,湖北卫视,2015,2017
疯狂的丛林,真人秀,原创,深圳卫视,2016,2016
疯狂的麦咭,真人秀,日本,湖南卫视,2014,2016
盖世音雄,真人秀,原创,江苏卫视,2016,2016
盖世英雄,真人秀,原创,江苏卫视,2016,2016
纲到你身边,脱口秀,原创,湖北卫视,2015,2015
跟着贝尔去冒险,真人秀,美国,东方卫视,2015,2017
狗狗冲冲冲,真人秀,原创,东方卫视,2014,2014
观复嘟嘟,脱口秀,原创,优酷土豆,2014,2017
好好学吧,真人秀,原创,湖南卫视,2015,2015
好笑头条君,脱口秀,原创,优酷土豆,2015,2017
和爸爸在一起,真人秀,原创,湖南卫视,2014,2014
黑白星球,脱口秀,原创,优酷土豆,2016,2016
嗨！2014,脱口秀,原创,CCTV,2014,2014
鸿观 第一季,脱口秀,原创,优酷土豆,2014,2016
花儿与少年 ,真人秀,原创,湖南卫视,2014,2015
花样姐姐 ,真人秀,原创,东方卫视,2015,2016
花样男团,真人秀,原创,东方卫视,2016,2016
花样年华,真人秀,原创,江苏卫视,2012,2014
花样爷爷,真人秀,韩国,东方卫视,2014,2014
花漾梦工厂 ,选秀,原创,山东卫视,2016,2017
欢乐合唱团,选秀,英国,东南卫视,2011,2011
欢乐喜剧人,脱口秀,原创,东方卫视,2015,2017
欢喜冤家,选秀,美国,江苏卫视,2010,2017
黄金单身汉,选秀,原创,芒果TV,2016,2017
黄金线路,真人秀,原创,CCTV,2015,2015
火星情报局 ,脱口秀,原创,优酷土豆,2016,2016
